Data,Descrição,Valor
04/06/2026,Bar do Ze,"-48,79"
05/06/2026,Aluguel Imobiliaria Alfa,"-2162,03"
08/06/2026,Netflix,"-56,06"
08/06/2026,Spotify,"-21,97"
09/06/2026,Posto Shell combustivel,"-187,07"
10/06/2026,Condominio Ed. Central,"-638,77"
10/06/2026,Amazon compra,"-88,37"
11/06/2026,Padaria da Esquina,"-37,91"
12/06/2026,Enel Energia,"-182,61"
12/06/2026,Sabesp Agua,"-94,63"
15/06/2026,Vivo Internet,"-122,12"
15/06/2026,iFood *Restaurante,"-65,38"
17/06/2026,Posto Shell combustivel,"-158,34"
20/06/2026,Plano de Saude Unimed,"-471,16"
21/06/2026,Farmacia Pacheco,"-46,50"
22/06/2026,Mercado Livre,"-214,69"
22/06/2026,Posto Shell combustivel,"-257,56"
23/06/2026,Padaria da Esquina,"-17,68"
25/06/2026,Amazon compra,"-376,22"
